股票代码:ID,股票名称,:LABEL
000738,航发控制,股票
000768,中航飞机,股票
000901,航天科技,股票
002023,海特高新,股票
002111,威海广泰,股票
300424,航新科技,股票
600097,开创国际,股票
600108,亚盛集团,股票
600127,金健米业,股票
600189,吉林森工,股票
600195,中牧股份,股票
600251,冠农股份,股票
600257,大湖股份,股票
600265,ST景谷,股票
600275,*ST昌鱼,股票
600313,农发种业,股票
600354,敦煌种业,股票
600359,新农开发,股票
600371,万向德农,股票
600438,通威股份,股票
600467,好当家,股票
600506,香梨股份,股票
600540,*ST新赛,股票
600598,北大荒,股票
600965,福成股份,股票
600975,新五丰,股票
601996,丰林集团,股票
603609,禾丰牧业,股票
000048,康达尔,股票
000061,农 产 品,股票
000592,平潭发展,股票
000663,永安林业,股票
000702,正虹科技,股票
000713,丰乐种业,股票
000735,罗 牛 山,股票
000798,中水渔业,股票
000876,新 希 望,股票
000998,隆平高科,股票
002041,登海种业,股票
002069,獐子岛,股票
002086,东方海洋,股票
002100,天康生物,股票
002124,天邦股份,股票
002157,正邦科技,股票
002173,创新医疗,股票
002234,民和股份,股票
002299,圣农发展,股票
002311,海大集团,股票
002321,华英农业,股票
002385,大北农,股票
002447,壹桥股份,股票
002458,益生股份,股票
002477,雏鹰农牧,股票
002505,大康农业,股票
002548,金新农,股票
002567,唐人神,股票
002679,福建金森,股票
002696,百洋股份,股票
002714,牧原股份,股票
002746,仙坛股份,股票
300021,大禹节水,股票
300087,荃银高科,股票
300094,国联水产,股票
300106,西部牧业,股票
300143,星普医科,股票
300186,大华农,股票
300189,神农基因,股票
300268,佳沃股份,股票
300313,天山生物,股票
300381,溢多利,股票
600039,四川路桥,股票
600068,葛洲坝,股票
600170,上海建工,股票
600248,延长化建,股票
600263,路桥建设,股票
600284,浦东建设,股票
600321,正源股份,股票
600326,西藏天路,股票
600491,龙元建设,股票
600502,安徽水利,股票
600512,腾达建设,股票
600528,中铁工业,股票
600545,卓郎智能,股票
600634,富控互动,股票
600681,百川能源,股票
600820,隧道股份,股票
600853,龙建股份,股票
600970,中材国际,股票
600986,科达股份,股票
601117,中国化学,股票
601186,中国铁建,股票
601390,中国中铁,股票
601618,中国中冶,股票
601668,中国建筑,股票
601669,中国电建,股票
601789,宁波建工,股票
601800,中国交建,股票
601886,江河集团,股票
603017,中衡设计,股票
603018,中设集团,股票
603030,全筑股份,股票
603828,柯利达,股票
603969,银龙股份,股票
000010,美丽生态,股票
000023,深天地Ａ,股票
000055,方大集团,股票
000065,北方国际,股票
000090,天健集团,股票
000498,山东路桥,股票
000509,华塑控股,股票
000619,海螺型材,股票
000786,北新建材,股票
000928,中钢国际,股票
000961,中南建设,股票
002043,兔 宝 宝,股票
002047,宝鹰股份,股票
002051,中工国际,股票
002060,粤 水 电,股票
002062,宏润建设,股票
002066,瑞泰科技,股票
002081,金 螳 螂,股票
002116,中国海诚,股票
002135,东南网架,股票
002140,东华科技,股票
002163,中航三鑫,股票
002178,延华智能,股票
002205,国统股份,股票
002225,濮耐股份,股票
002247,帝龙文化,股票
002271,东方雨虹,股票
002307,北新路桥,股票
002310,东方园林,股票
002314,南山控股,股票
002325,洪涛股份,股票
002372,伟星新材,股票
002375,亚厦股份,股票
002392,北京利尔,股票
002398,建研集团,股票
002431,棕榈股份,股票
002468,申通快递,股票
002469,三维工程,股票
002482,广田集团,股票
002542,中化岩土,股票
002586,围海股份,股票
002596,海南瑞泽,股票
002620,瑞和股份,股票
002628,成都路桥,股票
002652,扬子新材,股票
002659,中泰桥梁,股票
002663,普邦股份,股票
002671,龙泉股份,股票
002713,东易日盛,股票
002717,岭南园林,股票
002738,中矿资源,股票
002742,三圣股份,股票
300080,易成新能,股票
300117,嘉寓股份,股票
300163,先锋新材,股票
300284,苏交科,股票
300344,太空板业,股票
300374,恒通科技,股票
600143,金发科技,股票
600146,商赢环球,股票
600444,国机通用,股票
600458,时代新材,股票
600589,广东榕泰,股票
603806,福斯特,股票
000407,胜利股份,股票
000859,国风塑业,股票
000973,佛塑科技,股票
002002,鸿达兴业,股票
002108,沧州明珠,股票
002243,通产丽星,股票
002263,大 东 南,股票
002324,普利特,股票
002343,慈文传媒,股票
002420,毅昌股份,股票
002457,青龙管业,股票
002464,众应互联,股票
002522,浙江众成,股票
002585,双星新材,股票
002641,永高股份,股票
002676,顺威股份,股票
002694,顾地科技,股票
002735,王子新材,股票
300169,天晟新材,股票
300198,纳川股份,股票
300218,安利股份,股票
300221,银禧科技,股票
300230,永利股份,股票
300305,裕兴股份,股票
300321,同大股份,股票
300325,德威新材,股票
300393,中来股份,股票
600056,中国医药,股票
600122,宏图高科,股票
600136,当代明诚,股票
600280,中央商场,股票
600306,商业城,股票
600327,大东方,股票
600361,华联综超,股票
600415,小商品城,股票
600511,国药股份,股票
600515,海航基础,股票
600628,新世界,股票
600631,百联股份,股票
600655,豫园股份,股票
600682,南京新百,股票
600693,东百集团,股票
600694,大商股份,股票
600697,欧亚集团,股票
600712,南宁百货,股票
600713,南京医药,股票
600723,首商股份,股票
600729,重庆百货,股票
600738,兰州民百,股票
600753,东方银星,股票
600774,汉商集团,股票
600778,友好集团,股票
600785,新华百货,股票
600790,轻纺城,股票
600814,杭州解百,股票
600821,津劝业,股票
600824,益民集团,股票
600827,百联股份,股票
600828,茂业商业,股票
600833,第一医药,股票
600838,上海九百,股票
600856,中天能源,股票
600857,宁波中百,股票
600858,银座股份,股票
600859,王府井,股票
600861,北京城乡,股票
600865,百大集团,股票
600891,秋林集团,股票
600898,国美通讯,股票
600998,九州通,股票
601010,文峰股份,股票
601116,三江购物,股票
601607,上海医药,股票
601933,永辉超市,股票
603123,翠微股份,股票
603368,柳州医药,股票
603883,老百姓,股票
603939,益丰药房,股票
000026,飞亚达Ａ,股票
000028,国药一致,股票
000062,深圳华强,股票
000408,藏格控股,股票
000411,英特集团,股票
000416,民生控股,股票
000417,合肥百货,股票
000419,通程控股,股票
000501,鄂武商Ａ,股票
000516,国际医学,股票
000560,昆百大Ａ,股票
000564,供销大集,股票
000587,金洲慈航,股票
000591,太阳能,股票
000638,万方发展,股票
000679,大连友谊,股票
000705,浙江震元,股票
000715,中兴商业,股票
000759,中百集团,股票
000785,武汉中商,股票
000829,天音控股,股票
000882,华联股份,股票
000889,茂业通信,股票
000906,浙商中拓,股票
000987,越秀金控,股票
002024,苏宁云商,股票
002187,广百股份,股票
002251,步 步 高,股票
002264,新 华 都,股票
002277,友阿股份,股票
002336,人人乐,股票
002344,海宁皮城,股票
002416,爱施德,股票
002419,天虹股份,股票
002441,众业达,股票
002462,嘉事堂,股票
002556,辉隆股份,股票
002561,徐家汇,股票
002589,瑞康医药,股票
002697,红旗连锁,股票
300022,吉峰农机,股票
300413,快乐购,股票
600070,浙江富润,股票
600152,维科精华,股票
600156,华升股份,股票
600220,江苏阳光,股票
600232,金鹰股份,股票
600370,三房巷,股票
600448,华纺股份,股票
600493,凤竹纺织,股票
600626,申达股份,股票
600630,龙头股份,股票
600689,上海三毛,股票
600735,新华锦,股票
600851,海欣股份,股票
600987,航民股份,股票
601339,百隆东方,股票
601599,鹿港文化,股票
603558,健盛集团,股票
603889,新澳股份,股票
000018,神州长城,股票
000045,深纺织Ａ,股票
000158,常山北明,股票
000611,天首发展,股票
000726,鲁 泰Ａ,股票
000779,三毛派神,股票
000803,*ST金宇,股票
000813,德展健康,股票
000850,华茂股份,股票
000955,欣龙控股,股票
000971,高升控股,股票
000982,*ST 中绒,股票
002034,旺能环境,股票
002042,华孚时尚,股票
002070,*ST众和,股票
002072,凯瑞德,股票
002083,孚日股份,股票
002087,新野纺织,股票
002127,南极电商,股票
002144,宏达高科,股票
002193,如意集团,股票
002394,联发股份,股票
002404,嘉欣丝绸,股票
002516,旷达科技,股票
600055,万东医疗,股票
600297,广汇汽车,股票
600587,新华医疗,股票
600763,通策医疗,股票
603309,维力医疗,股票
000150,宜华健康,股票
002223,鱼跃医疗,股票
002382,蓝帆医疗,股票
002432,九安医疗,股票
002551,尚荣医疗,股票
002614,奥佳华,股票
300003,乐普医疗,股票
300015,爱尔眼科,股票
300030,阳普医疗,股票
300061,康旗股份,股票
300171,东富龙,股票
300206,理邦仪器,股票
300216,千山药机,股票
300238,冠昊生物,股票
